year,iso,country,election,green_code1,green_1,green_1n,green_code2,green_2,green_2n,left_code,left_1,left_1n,social_code,social_1,social_1n,social_code2,social_2,social_2n,right_code,right_1,right_1n,right_code2,right_2,right_2n
1990,AT,Austria,07/10/1990,green1,"The-Greens  
Green Alternative","Die Grünen –  
Die Grüne Alternative",,,,,,,social1,Socialist Party,Sozialistische Partei Österreichs,,,,relig1,Austrian People’s Party,Österreichische Volkspartei,,,
1994,AT,Austria,09/10/1994,green1,"The-Greens  
Green Alternative","Die Grünen –  
Die Grüne Alternative",,,,,,,social1,Socialist Party,Sozialistische Partei Österreichs,,,,relig1,Austrian People’s Party,Österreichische Volkspartei,,,
1995,AT,Austria,17/12/1995,green1,"The-Greens  
Green Alternative","Die Grünen –  
Die Grüne Alternative",,,,,,,social1,Socialist Party,Sozialistische Partei Österreichs,,,,relig1,Austrian People’s Party,Österreichische Volkspartei,,,
1999,AT,Austria,03/10/1999,green1,"The-Greens  
Green Alternative","Die Grünen –  
Die Grüne Alternative",,,,,,,social1,Socialist Party,Sozialistische Partei Österreichs,,,,relig1,Austrian People’s Party,Österreichische Volkspartei,,,
2002,AT,Austria,24/11/2002,green1,"The-Greens  
Green Alternative","Die Grünen –  
Die Grüne Alternative",,,,,,,social1,Socialist Party,Sozialistische Partei Österreichs,,,,relig1,Austrian People’s Party,Österreichische Volkspartei,,,
2006,AT,Austria,01/10/2006,green1,"The-Greens  
Green Alternative","Die Grünen –  
Die Grüne Alternative",,,,leftsoc1,Communist Party,KPÖ,social1,Socialist Party,Sozialistische Partei Österreichs,,,,relig1,Austrian People’s Party,Österreichische Volkspartei,,,
2008,AT,Austria,28/09/2008,green1,"The-Greens  
Green Alternative","Die Grünen –  
Die Grüne Alternative",,,,leftsoc1,Communist Party,KPÖ,social1,Socialist Party,Sozialistische Partei Österreichs,,,,relig1,Austrian People’s Party,Österreichische Volkspartei,,,
2013,AT,Austria,29/09/2013,green1,"The-Greens  
Green Alternative","Die Grünen –  
Die Grüne Alternative",,,,leftsoc1,Communist Party,KPÖ,social1,Socialist Party,Sozialistische Partei Österreichs,,,,relig1,Austrian People’s Party,Österreichische Volkspartei,,,
2017,AT,Austria,15/10/2017,green1,"The-Greens  
Green Alternative","Die Grünen –  
Die Grüne Alternative",green2,Peter Pilz List,Liste Peter Pilz,leftsoc1,Communist Party,KPÖ,social1,Socialist Party,Sozialistische Partei Österreichs,,,,relig1,Austrian People’s Party,Österreichische Volkspartei,,,
2019,AT,Austria,29/09/2019,green1,"The-Greens  
Green Alternative","Die Grünen –  
Die Grüne Alternative",,,,leftsoc1,Communist Party,KPÖ,social1,Socialist Party,Sozialistische Partei Österreichs,,,,relig1,Austrian People’s Party,Österreichische Volkspartei,,,
